,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
2004-01-02,0.0,0.0,0.0,0.0,0.0,6.5,251.21,0.5
2004-01-03,0.0,0.0,0.0,0.0,0.0,4.45,251.28,0.5
2004-01-04,0.0,0.0,0.0,0.0,0.0,2.0,251.35,0.5
2004-01-05,0.2,0.0,0.0,0.0,0.0,0.9,251.37,0.5
2004-01-06,0.0,0.0,0.0,0.0,0.0,2.25,251.42,0.5
2004-01-07,0.0,0.0,0.0,0.0,0.0,3.65,251.43,0.5
2004-01-08,0.0,0.8,0.0,0.0,0.0,3.35,251.45,0.5
2004-01-09,4.6,5.8,3.8,5.6,7.8,5.55,251.49,0.5
2004-01-10,0.0,0.0,0.0,0.0,0.0,6.1,251.52,0.5
2004-01-11,0.0,0.0,0.0,0.0,0.0,6.25,251.53,0.5
2004-01-12,1.8,1.6,1.2,3.4,3.6,6.7,251.55,0.5
2004-01-13,0.4,2.6,0.8,1.2,0.6,8.6,251.58,0.5
2004-01-14,0.0,0.2,0.0,0.0,0.0,12.2,251.59,0.5
2004-01-15,7.0,13.0,10.0,8.8,6.0,9.1,251.64,0.5
2004-01-16,3.2,11.4,4.6,5.6,4.4,5.45,251.7,0.5
2004-01-17,19.6,49.6,20.2,36.4,18.2,4.9,251.8,21.6
2004-01-18,27.0,40.2,26.6,25.2,24.8,8.35,252.32,32.8
2004-01-19,0.0,0.0,0.0,0.2,0.0,5.55,252.21,37.0
2004-01-20,0.2,0.0,0.0,0.0,0.0,3.15,252.05,19.0
2004-01-21,0.0,0.0,0.0,0.0,0.0,4.2,251.98,11.5
2004-01-22,0.0,0.0,0.0,0.0,0.0,4.25,251.91,8.5
2004-01-23,0.0,0.0,0.0,0.0,0.0,2.75,251.86,7.0
2004-01-24,0.0,0.0,0.0,0.0,0.0,2.4,251.82,6.0
2004-01-25,0.2,2.2,0.6,1.2,1.8,1.9,251.81,6.0
2004-01-26,0.6,0.0,0.2,0.2,0.4,-0.1,251.78,5.5
2004-01-27,8.4,6.8,7.8,8.8,7.6,1.1,251.77,5.15
2004-01-28,3.6,1.8,0.6,0.6,4.8,2.15,251.75,4.95
2004-01-29,0.0,0.0,0.0,0.0,0.2,0.6,251.72,5.0
2004-01-30,6.8,13.0,19.2,12.6,20.6,-0.1,251.73,5.05
2004-01-31,5.8,0.2,0.0,5.4,4.2,1.7,251.71,5.0
2004-02-01,8.2,0.6,0.0,12.8,0.0,1.65,251.7,4.8
2004-02-02,0.0,0.2,0.0,1.6,0.0,4.55,251.7,4.6
2004-02-03,0.0,0.0,0.0,0.0,0.0,6.75,251.75,5.25
2004-02-04,0.0,0.0,0.0,0.0,0.0,8.2,251.79,5.8
2004-02-05,0.0,0.0,0.0,0.0,0.0,6.55,251.79,5.9
2004-02-06,0.0,0.0,0.0,0.2,0.2,7.65,251.77,6.0
2004-02-07,3.2,8.2,6.4,4.4,4.2,9.4,251.75,5.8
2004-02-08,1.2,1.4,1.6,1.4,0.8,8.9,251.76,6.1
2004-02-09,0.0,0.0,0.0,0.0,0.0,9.5,251.75,6.6
2004-02-10,0.2,0.0,0.0,0.0,0.0,7.85,251.73,6.8
2004-02-11,0.0,0.0,0.0,0.0,0.0,8.3,251.7,6.3
2004-02-12,0.2,0.0,0.0,0.0,0.2,7.05,251.68,3.5
2004-02-13,0.0,0.0,0.2,0.0,0.0,6.25,251.68,3.5
2004-02-14,0.0,0.0,0.0,0.0,0.0,5.4,251.68,3.6
2004-02-15,0.0,0.0,0.0,0.0,0.0,5.8,251.68,3.7
2004-02-16,0.0,0.0,0.0,0.0,0.0,8.75,251.68,3.8
2004-02-17,0.0,0.0,0.0,0.0,0.0,8.8,251.67,4.0
2004-02-18,10.0,11.6,8.2,8.8,11.6,6.55,251.66,4.2
2004-02-19,23.4,21.4,20.6,23.2,25.0,3.15,251.73,5.3
2004-02-20,1.4,1.4,1.4,0.6,2.8,3.05,251.88,6.0
2004-02-21,14.4,26.0,13.8,18.0,18.8,5.75,251.89,6.7
2004-02-22,14.6,27.4,16.4,25.2,28.4,9.15,252.14,17.6
2004-02-23,13.2,29.2,21.8,29.0,23.8,10.05,252.28,44.5
2004-02-24,0.0,0.2,0.0,0.0,0.0,8.25,252.11,33.5
2004-02-25,3.4,3.4,2.8,3.2,5.2,1.65,251.96,8.1
2004-02-26,12.4,14.8,12.8,16.6,16.2,2.2,251.96,9.6
2004-02-27,2.4,2.4,1.6,3.4,2.4,3.1,252.03,12.4
2004-02-28,10.6,1.4,7.2,9.0,0.6,4.55,251.99,12.2
2004-02-29,4.4,13.2,7.0,17.0,17.4,0.45,251.98,11.8
2004-03-01,0.0,4.6,0.0,0.4,7.6,1.6,251.99,8.9
2004-03-02,0.0,0.0,0.0,0.0,0.0,1.55,251.95,8.6
2004-03-03,0.0,0.0,0.0,0.0,0.0,2.7,251.9,7.1
2004-03-04,0.0,0.0,0.0,0.0,0.0,7.2,251.91,6.1
2004-03-05,0.0,0.0,0.0,0.0,0.0,8.7,251.91,6.2
2004-03-06,11.4,13.8,9.2,16.2,20.8,7.75,251.91,6.3
2004-03-07,5.6,7.4,6.6,6.8,11.2,3.35,252.0,7.7
2004-03-08,0.2,1.8,0.6,0.2,0.4,1.35,251.98,7.9
2004-03-09,0.0,0.0,0.0,0.0,0.0,2.85,251.96,7.0
2004-03-10,1.0,4.4,1.6,2.2,2.2,5.05,251.94,6.4
2004-03-11,7.2,14.4,7.6,7.8,8.6,6.05,251.93,6.7
2004-03-12,0.0,0.0,0.0,0.2,0.0,4.3,251.95,7.1
2004-03-13,0.0,0.0,0.0,0.0,0.0,7.05,251.94,7.3
2004-03-14,0.0,0.0,0.0,0.0,0.0,10.25,251.93,6.9
2004-03-15,0.0,0.0,0.0,0.0,0.0,12.5,251.91,6.9
2004-03-16,0.0,0.0,0.0,0.0,0.0,14.6,251.88,6.2
2004-03-17,0.0,0.0,0.0,0.0,0.0,14.45,251.86,5.6
2004-03-18,0.0,0.0,0.0,0.0,0.0,16.45,251.84,5.6
2004-03-19,0.0,0.0,0.0,0.0,0.0,14.25,251.84,5.2
2004-03-20,0.0,0.4,1.2,0.2,0.6,9.6,251.84,4.6
2004-03-21,1.0,2.2,1.4,1.8,1.2,10.9,251.84,4.6
2004-03-22,0.0,0.6,0.0,0.0,0.0,11.85,251.83,4.6
2004-03-23,5.6,11.0,5.0,7.2,9.0,10.3,251.84,4.8
2004-03-24,0.2,0.2,0.0,0.0,1.2,6.8,251.83,4.8
2004-03-25,1.6,0.4,0.4,1.0,2.6,6.85,251.8,4.8
2004-03-26,0.0,0.2,0.0,0.0,0.4,6.9,251.78,4.7
2004-03-27,0.0,0.0,0.0,0.0,0.0,8.0,251.77,4.6
2004-03-28,0.0,0.0,0.0,0.0,0.0,9.35,251.75,4.6
2004-03-29,0.0,0.0,0.0,0.0,0.0,10.45,251.72,0.6
2004-03-30,0.0,0.0,0.0,0.0,0.0,11.6,251.73,0.6
2004-03-31,8.2,8.0,8.2,8.8,10.2,11.2,251.74,0.6
2004-04-01,0.0,0.0,0.0,0.0,0.0,9.75,251.75,0.6
2004-04-02,0.0,0.0,0.0,0.0,0.0,12.45,251.76,0.6
2004-04-03,0.0,0.0,0.0,0.0,0.0,15.0,251.77,0.6
2004-04-04,0.0,0.0,0.0,0.0,0.0,15.95,251.78,0.6
2004-04-05,0.0,0.0,0.0,0.0,0.0,14.3,251.8,0.6
2004-04-06,0.2,1.0,0.0,0.0,0.0,12.4,251.82,0.6
2004-04-07,13.4,12.6,11.2,17.0,23.6,10.75,251.84,0.6
2004-04-08,0.2,0.4,0.0,0.0,0.2,6.5,251.87,0.6
2004-04-09,7.2,7.4,8.4,8.4,10.4,11.6,251.9,0.6
2004-04-10,0.2,0.4,0.0,0.0,0.2,8.3,251.93,0.6
2004-04-11,0.0,0.0,0.0,0.0,0.0,9.3,251.95,0.6
2004-04-12,0.6,3.6,5.2,1.2,2.4,12.15,251.98,0.6
2004-04-13,0.0,0.2,0.2,0.2,0.4,7.05,252.0,0.6
2004-04-14,0.0,0.0,0.0,0.0,0.0,9.3,252.0,0.6
2004-04-15,0.4,3.4,2.4,2.4,1.8,10.65,252.0,0.6
2004-04-16,14.4,19.4,14.8,19.0,19.8,11.45,252.01,2.9
2004-04-17,6.2,3.6,6.4,3.2,4.2,12.0,252.08,7.4
2004-04-18,2.2,4.2,2.2,2.6,5.2,11.8,252.09,9.9
2004-04-19,9.4,10.6,10.4,9.6,12.6,10.95,252.09,9.5
2004-04-20,0.8,0.2,1.2,0.6,0.6,8.9,252.11,10.0
2004-04-21,0.2,0.0,0.0,0.0,0.0,13.5,252.11,9.8
2004-04-22,0.0,0.0,0.0,0.0,0.0,15.8,252.09,9.3
2004-04-23,0.0,0.0,0.0,0.0,0.0,16.9,252.08,7.5
2004-04-24,11.2,13.8,10.8,12.4,14.0,18.25,252.07,6.8
2004-04-25,0.2,0.0,0.0,0.0,0.0,15.45,252.07,6.8
2004-04-26,0.0,0.0,0.0,0.0,0.0,13.2,252.06,5.0
2004-04-27,0.0,0.0,0.0,0.0,0.0,13.85,252.05,5.2
2004-04-28,0.0,0.0,0.0,0.0,0.0,15.05,252.05,5.0
2004-04-29,0.4,0.2,0.4,0.2,0.6,15.0,252.05,4.8
2004-04-30,2.6,3.8,4.0,2.6,3.2,15.7,252.05,4.6
2004-05-01,0.0,0.0,0.0,0.0,0.0,13.9,252.05,3.9
2004-05-02,2.8,1.8,4.4,5.2,3.6,14.45,252.04,3.2
2004-05-03,2.4,13.8,2.8,3.4,4.6,14.6,252.04,3.0
2004-05-04,24.2,46.6,27.0,33.8,39.8,16.9,252.06,11.8
2004-05-05,19.6,28.4,16.4,29.0,30.6,12.95,252.23,25.5
2004-05-06,14.2,13.0,11.4,19.0,29.6,10.15,252.36,38.5
2004-05-07,8.2,8.8,9.8,7.6,6.6,9.25,252.23,32.2
2004-05-08,11.0,23.2,17.8,16.4,14.0,9.1,252.18,27.2
2004-05-09,0.0,1.4,0.4,0.8,0.6,9.85,252.12,21.4
2004-05-10,0.0,0.0,0.0,0.0,0.0,11.05,252.06,10.9
2004-05-11,0.0,0.0,0.0,0.0,0.2,12.1,252.08,7.0
2004-05-12,1.4,2.4,1.2,1.6,1.4,15.35,252.08,9.1
2004-05-13,0.0,0.4,0.0,0.0,0.0,14.3,252.08,9.1
2004-05-14,0.0,0.0,0.0,0.0,0.0,14.2,252.08,8.0
2004-05-15,0.0,0.0,0.0,0.0,0.0,16.2,252.08,8.0
2004-05-16,0.0,0.0,0.0,0.0,0.0,15.35,252.07,7.8
2004-05-17,0.0,0.0,0.0,0.0,0.0,17.45,252.06,6.9
2004-05-18,0.0,0.0,0.0,0.0,0.0,16.15,252.06,6.1
2004-05-19,0.0,0.0,0.0,0.0,0.0,17.2,252.05,5.7
2004-05-20,0.0,0.0,0.0,0.0,0.0,16.7,252.05,4.8
2004-05-21,0.0,0.0,0.0,0.0,0.0,16.75,252.04,4.8
2004-05-22,0.0,0.0,0.0,0.0,0.0,16.15,252.04,4.5
2004-05-23,0.0,0.0,0.0,0.0,0.0,16.65,252.04,4.1
2004-05-24,0.0,0.0,0.0,0.0,0.0,15.75,252.03,3.3
2004-05-25,0.0,0.0,0.0,0.0,0.0,15.1,252.03,3.3
2004-05-26,0.0,0.0,0.0,0.0,0.0,16.45,252.03,3.3
2004-05-27,0.0,0.0,0.0,0.0,0.0,17.2,252.03,3.3
2004-05-28,0.2,0.0,0.2,0.4,0.0,15.8,252.03,3.3
2004-05-29,0.0,0.0,0.0,0.0,0.0,17.05,252.02,2.5
2004-05-30,0.0,0.0,0.0,0.0,0.0,16.5,252.02,2.0
2004-05-31,9.4,7.0,5.8,8.6,11.2,14.45,252.02,2.0
2004-06-01,7.8,7.2,5.8,7.4,11.6,17.75,252.02,2.0
2004-06-02,1.2,7.2,2.6,2.6,0.0,16.1,252.02,2.0
2004-06-03,5.6,7.0,7.2,4.8,6.8,17.85,252.02,2.0
2004-06-04,0.2,0.0,0.0,0.0,0.0,19.0,252.02,2.0
2004-06-05,8.0,0.0,2.6,0.4,0.2,18.7,252.02,2.0
2004-06-06,8.0,4.2,4.2,6.2,7.4,18.2,252.02,2.0
2004-06-07,0.0,0.0,0.0,0.0,0.0,16.75,252.02,2.3
2004-06-08,0.0,0.0,0.0,0.0,0.0,19.85,252.01,1.7
2004-06-09,0.0,0.0,0.0,0.0,0.0,21.65,252.01,1.7
2004-06-10,0.0,0.0,0.0,0.0,0.0,23.3,252.01,1.6
2004-06-11,0.0,0.0,0.0,0.0,0.0,22.05,252.01,1.4
2004-06-12,0.0,0.0,0.0,0.0,0.0,21.5,252.0,0.8
2004-06-13,0.0,1.2,0.2,0.4,0.0,20.0,252.0,0.8
2004-06-14,0.0,0.2,0.2,0.2,0.0,16.8,251.99,0.6
2004-06-15,0.0,1.2,2.0,0.0,0.0,18.35,251.99,0.6
2004-06-16,0.0,0.0,0.0,0.0,0.0,20.05,251.98,0.6
2004-06-17,0.0,0.0,0.0,0.0,0.0,19.55,251.98,0.6
2004-06-18,0.0,0.0,0.0,0.0,0.0,19.95,251.97,0.6
2004-06-19,0.0,0.0,0.0,0.0,0.0,21.2,251.96,0.6
2004-06-20,0.2,1.6,2.4,0.8,0.4,21.75,251.96,0.6
2004-06-21,0.0,0.0,0.0,0.0,0.0,18.65,251.95,0.6
2004-06-22,0.0,0.0,0.0,0.0,0.0,17.3,251.94,0.6
2004-06-23,0.0,0.0,0.0,0.0,0.0,19.2,251.93,0.6
